dataset,trial,batch_size,learning_rate,n_layer,n_units
MLP_alsfrs-r_T2-T4_T5,trial_27,64,8.310036718359503e-05,3,256
MLP_alsfrs-r_T2-T4_T5,trial_44,32,1.6314513837528326e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_9,128,2.1112162354531942e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_43,32,1.6284199360286104e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_7,128,4.8267811186327146e-05,1,256
MLP_alsfrs-r_T2-T4_T5,trial_0,16,1.7964576153531337e-05,3,512
MLP_alsfrs-r_T2-T4_T5,trial_19,16,0.0020638171175593055,2,1024
MLP_alsfrs-r_T2-T4_T5,trial_26,64,0.00015345337744597908,2,256
MLP_alsfrs-r_T2-T4_T5,trial_21,64,0.00011515653279158885,2,256
MLP_alsfrs-r_T2-T4_T5,trial_28,64,0.00030454458661058846,2,256
MLP_alsfrs-r_T2-T4_T5,trial_17,64,0.0004593445321013821,2,1024
MLP_alsfrs-r_T2-T4_T5,trial_10,16,1.2256393380520777e-05,5,512
MLP_alsfrs-r_T2_T5,trial_36,128,0.00666851991016571,1,512
MLP_alsfrs-r_T2_T5,trial_31,128,0.00607991867720744,3,1024
MLP_alsfrs-r_T2_T5,trial_38,16,0.0031989978694219965,3,1024
MLP_alsfrs-r_T2_T5,trial_39,128,0.0018643626948501677,2,128
MLP_alsfrs-r_T2_T5,trial_30,128,0.0013544588632942302,2,128
MLP_alsfrs-r_T2_T5,trial_37,64,5.6686857572725735e-05,3,64
MLP_alsfrs-r_T2_T5,trial_15,32,0.0012676488369436705,2,32
MLP_alsfrs-r_T2_T5,trial_12,128,0.00924488524261411,4,128
MLP_alsfrs-r_T2_T5,trial_24,32,0.0005474480291674495,2,512
MLP_alsfrs-r_T2_T5,trial_23,32,0.0027272629667303267,3,32
MLP_alsfrs-r_T2_T5,trial_5,32,0.00015148434745897708,3,512
MLP_alsfrs-r_T2_T5,trial_48,128,0.0014536798037521454,2,64
MLP_alsfrs-r_T2_T5,trial_2,16,0.00020077250939835934,3,64
MLP_alsfrs-r_T2_T5,trial_46,16,0.005205899845064858,4,512
MLP_alsfrs-r_T2_T5,trial_41,128,0.006627168440262664,3,1024
MLP_alsfrs-r_T2_T5,trial_22,32,0.004033048142037875,5,128
MLP_alsfrs-r_T2_T5,trial_25,32,0.005106602098576462,3,1024
MLP_alsfrs-r_T2_T5,trial_13,32,0.002004242322127026,4,32
MLP_alsfrs-r_T2_T5,trial_14,32,0.0017544973767077878,5,32
MLP_alsfrs-r_T2_T5,trial_40,128,0.00039247488672256947,5,256
MLP_alsfrs-r_T2_T5,trial_47,128,0.0026539078278160944,3,128
MLP_alsfrs-r_T2_T5,trial_3,64,1.971496563499276e-05,3,64
MLP_alsfrs-r_T2_T5,trial_4,64,0.00020058816535839175,5,64
MLP_alsfrs-r_T2_T5,trial_49,128,0.002327473150780128,4,1024
MLP_alsfrs-r_T2_T5,trial_32,128,0.005996770941323097,3,1024
MLP_alsfrs-r_T2_T5,trial_35,16,0.0030140565833406074,2,1024
MLP_alsfrs-r_T2_T5,trial_34,64,0.0010600293119258216,3,64
MLP_alsfrs-r_T2_T5,trial_33,128,0.006269072944172043,3,1024
MLP_alsfrs-r_T2_T5,trial_1,16,2.0063501706385628e-05,4,1024
MLP_alsfrs-r_T2_T5,trial_6,16,0.00021676035827112086,1,256
MLP_alsfrs-r_T2_T5,trial_42,128,0.005825449003818925,3,1024
MLP_alsfrs-r_T2_T5,trial_45,64,0.00995512118920605,2,128
MLP_alsfrs-r_T2_T5,trial_8,64,6.880283891287716e-05,5,1024
MLP_alsfrs-r_T2_T5,trial_11,128,0.009230439612901162,4,128
MLP_alsfrs-r_T2_T5,trial_29,128,1.1241947906809828e-05,1,128
MLP_alsfrs-r_T2_T5,trial_16,32,0.002086783597255679,4,32
MLP_alsfrs-r_T2_T5,trial_20,32,0.000732524695891766,2,512
MLP_alsfrs-r_T2_T5,trial_18,32,0.0008033088052526945,1,512
