Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T3_T5/trial_21;2;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7295;0,7295;2 370
T2-T3_T5/trial_22;2;1 024;0,0002;ReLU;Huber;1;Adagrad;0,717;0,717;1 343
T2-T3_T5/trial_23;3;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7312;0,7312;5 530
T2-T3_T5/trial_24;3;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7374;0,7374;5 372
T2-T3_T5/trial_25;3;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7346;0,7346;8 769
T2-T3_T5/trial_26;4;1 024;0;ReLU;Huber;0;Adagrad;0,6575;0,6575;15 800
T2-T3_T5/trial_27;3;128;0,0001;ReLU;Huber;1;Adagrad;0,577;0,577;15 800
T2-T3_T5/trial_28;3;64;0;sigmoid;MAE;0;Adagrad;-11,891;-11,891;15 800
T2-T3_T5/trial_29;5;256;0,0003;tanh;MSE;1;RMSprop;-0,1724;-0,1724;7 110
T2-T3_T5/trial_3;5;128;0,0021;sigmoid;MSE;0;RMSprop;0,6345;0,6345;650
T2-T3_T5/trial_30;4;1 024;0;tanh;MSE;1;Adam;0,578;0,578;9 875
T2-T3_T5/trial_31;3;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7331;0,7331;5 214
T2-T3_T5/trial_32;3;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7272;0,7272;7 584
T2-T3_T5/trial_33;3;32;0,0001;ReLU;Huber;1;Adagrad;-7,9091;-7,9091;15 800
T2-T3_T5/trial_34;3;1 024;0;ReLU;Huber;1;Adagrad;0,015;0,015;2 000
T2-T3_T5/trial_35;4;1 024;0,0052;ReLU;Huber;1;Adagrad;0,7548;0,7548;869
T2-T3_T5/trial_36;3;1 024;0;ReLU;Huber;1;Adam;0,7565;0,7565;1 185
T2-T3_T5/trial_37;3;128;0;tanh;Huber;1;Adagrad;-8,2958;-8,2958;4 000
T2-T3_T5/trial_38;4;512;0,0001;ReLU;MSE;1;RMSprop;0,6315;0,6315;632
T2-T3_T5/trial_39;5;1 024;0;ReLU;Huber;1;Adam;0,7636;0,7636;520
T2-T3_T5/trial_4;1;1 024;0,001;ReLU;Huber;1;Adam;0,676;0,676;520
T2-T3_T5/trial_40;3;1 024;0,0018;sigmoid;MAE;1;Adagrad;-0,1308;-0,1308;2 000
T2-T3_T5/trial_41;3;1 024;0,0001;ReLU;Huber;0;Adagrad;0,7329;0,7329;1 659
T2-T3_T5/trial_42;3;1 024;0,0002;ReLU;Huber;1;Adagrad;0,7543;0,7543;1 027
T2-T3_T5/trial_43;2;1 024;0,0001;ReLU;Huber;0;Adagrad;0,7398;0,7398;3 634
T2-T3_T5/trial_44;4;512;0,0001;ReLU;Huber;1;Adagrad;0,6785;0,6785;15 800
T2-T3_T5/trial_45;3;1 024;0,0001;ReLU;Huber;0;RMSprop;0,4522;0,4522;474
T2-T3_T5/trial_46;2;256;0;tanh;Huber;1;Adagrad;-7,9249;-7,9249;15 800
T2-T3_T5/trial_47;3;32;0;ReLU;MSE;1;Adagrad;-8,2906;-8,2906;4 000
T2-T3_T5/trial_48;2;1 024;0,0001;ReLU;Huber;0;Adam;0,6867;0,6867;869
T2-T3_T5/trial_49;3;64;0,0002;ReLU;Huber;1;Adagrad;0,7039;0,7039;15 800
T2-T3_T5/trial_5;3;512;0,0012;ReLU;MSE;0;Adam;0,7092;0,7092;948
T2-T3_T5/trial_6;4;512;0,0007;tanh;MAE;1;RMSprop;-0,0239;-0,0239;760
T2-T3_T5/trial_7;3;512;0;tanh;MAE;1;Adagrad;-6,6045;-6,6045;4 000
T2-T3_T5/trial_8;2;256;0,0005;ReLU;Huber;0;RMSprop;0,5859;0,5859;280
T2-T3_T5/trial_9;2;1 024;0,0008;ReLU;MSE;0;RMSprop;0,6743;0,6743;480
T2_T5/trial_0;4;128;0,0071;ReLU;Huber;0;Adagrad;0,6029;0,6029;1 560
T2_T5/trial_1;4;1 024;0;tanh;Huber;1;Adagrad;-5,7364;-5,7364;16 000
T2_T5/trial_10;4;128;0,0096;ReLU;Huber;0;RMSprop;0,5646;0,5646;170
T2_T5/trial_11;4;128;0,0092;ReLU;Huber;0;RMSprop;0,6714;0,6714;180
T2_T5/trial_12;4;128;0,0092;ReLU;Huber;0;RMSprop;0,1913;0,1913;160
T2_T5/trial_13;4;32;0,002;ReLU;Huber;0;RMSprop;0,6429;0,6429;760
T2_T5/trial_14;5;32;0,0018;ReLU;Huber;0;RMSprop;0,3594;0,3594;560
T2_T5/trial_15;2;32;0,0013;sigmoid;Huber;0;Adam;0,482;0,482;3 640
T2_T5/trial_16;4;32;0,0021;ReLU;Huber;0;RMSprop;0,649;0,649;880
T2_T5/trial_17;2;512;0,0034;ReLU;Huber;0;Adagrad;0,6458;0,6458;1 160
T2_T5/trial_18;1;512;0,0008;tanh;Huber;0;Adagrad;0,6084;0,6084;4 680
T2_T5/trial_19;2;512;0,0041;sigmoid;Huber;0;Adagrad;0,5207;0,5207;1 880
T2_T5/trial_2;3;64;0,0002;sigmoid;MSE;1;Adagrad;-8,3681;-8,3681;16 000
T2_T5/trial_20;2;512;0,0007;ReLU;MAE;0;Adagrad;0,665;0,665;2 240
T2_T5/trial_21;4;32;0,0044;ReLU;Huber;0;Adagrad;0,6545;0,6545;2 320
T2_T5/trial_22;5;128;0,004;ReLU;Huber;0;RMSprop;0,6571;0,6571;520
T2_T5/trial_23;3;32;0,0027;ReLU;Huber;0;Adam;0,6376;0,6376;840
T2_T5/trial_24;2;512;0,0005;ReLU;Huber;0;Adam;0,5981;0,5981;840
T2_T5/trial_25;3;1 024;0,0051;ReLU;Huber;0;Adam;0,6086;0,6086;400
T2_T5/trial_26;1;256;0,0028;ReLU;Huber;1;Adam;0,6519;0,6519;360
T2_T5/trial_27;2;128;0,001;ReLU;Huber;0;Adam;0,6717;0,6717;430
T2_T5/trial_28;2;128;0,0005;sigmoid;MAE;0;Adagrad;-5,0107;-5,0107;2 000
T2_T5/trial_29;1;128;0;tanh;Huber;1;Adagrad;-7,2388;-7,2388;2 000
T2_T5/trial_3;3;64;0;tanh;MAE;0;RMSprop;-3,5404;-3,5404;4 000
T2_T5/trial_30;2;128;0,0014;tanh;Huber;0;Adam;0,5684;0,5684;640
T2_T5/trial_31;3;1 024;0,0061;ReLU;Huber;0;Adam;0,6689;0,6689;250
T2_T5/trial_32;3;1 024;0,006;ReLU;Huber;0;Adam;0,6661;0,6661;140
T2_T5/trial_33;3;1 024;0,0063;ReLU;Huber;0;Adam;0,6074;0,6074;200
T2_T5/trial_34;3;64;0,0011;ReLU;Huber;1;Adam;0,6585;0,6585;1 020
T2_T5/trial_35;2;1 024;0,003;ReLU;MSE;0;Adagrad;0,6291;0,6291;1 680
T2_T5/trial_36;1;512;0,0067;tanh;MAE;0;Adam;0,55;0,55;250
T2_T5/trial_37;3;64;0,0001;ReLU;Huber;1;Adagrad;-6,6174;-6,6174;4 000
T2_T5/trial_38;3;1 024;0,0032;sigmoid;MSE;0;Adam;-0,0863;-0,0863;480
T2_T5/trial_39;2;128;0,0019;ReLU;Huber;0;Adagrad;0,678;0,678;680
T2_T5/trial_4;5;64;0,0002;ReLU;MSE;1;Adagrad;-7,9009;-7,9009;4 000
T2_T5/trial_40;5;256;0,0004;ReLU;MAE;1;Adagrad;0,6372;0,6372;2 000
T2_T5/trial_41;3;1 024;0,0066;ReLU;Huber;0;Adam;0,6748;0,6748;190
T2_T5/trial_42;3;1 024;0,0058;ReLU;Huber;0;Adam;0,6195;0,6195;220
T2_T5/trial_43;3;1 024;0,0078;ReLU;Huber;0;Adam;0,6599;0,6599;190
T2_T5/trial_44;4;1 024;0,0037;ReLU;MSE;0;Adam;0,6382;0,6382;120
T2_T5/trial_45;2;128;0,01;ReLU;Huber;0;Adam;0,6503;0,6503;200
T2_T5/trial_46;4;512;0,0052;ReLU;Huber;0;Adam;0,4643;0,4643;640
T2_T5/trial_47;3;128;0,0027;ReLU;Huber;0;Adagrad;0,6829;0,6829;550
T2_T5/trial_48;2;64;0,0015;sigmoid;Huber;0;Adam;0,5528;0,5528;1 010
T2_T5/trial_49;4;1 024;0,0023;tanh;Huber;0;Adagrad;0,595;0,595;340
T2_T5/trial_5;3;512;0,0002;tanh;MAE;0;Adam;0,6115;0,6115;1 240
T2_T5/trial_6;1;256;0,0002;ReLU;MSE;1;Adam;0,6112;0,6112;2 720
T2_T5/trial_7;3;128;0;ReLU;MAE;0;Adagrad;-6,0256;-6,0256;16 000
T2_T5/trial_8;5;1 024;0,0001;sigmoid;MSE;0;Adagrad;-2,3441;-2,3441;4 000
T2_T5/trial_9;2;256;0,0002;ReLU;MSE;1;Adagrad;0,6422;0,6422;8 000
T3_T5/trial_0;1;128;0,0002;tanh;Huber;0;Adam;0,6766;0,6766;3 600
T3_T5/trial_1;2;32;0,0001;ReLU;Huber;1;RMSprop;0,6514;0,6514;4 320
T3_T5/trial_10;5;256;0,0005;ReLU;MAE;1;Adam;0,7085;0,7085;390
T3_T5/trial_11;1;32;0,0002;ReLU;Huber;1;RMSprop;0,6256;0,6256;3 600
T3_T5/trial_12;2;512;0,0004;ReLU;Huber;1;RMSprop;0,5869;0,5869;220
