Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T2_T5/trial_20,2,512,"0,0007",ReLU,MAE,0,Adagrad,"5,4768",5.4768,2 240,T2_T5,trial_20
T2_T5/trial_47,3,128,"0,0027",ReLU,Huber,0,Adagrad,"5,5417",5.5417,550,T2_T5,trial_47
T2_T5/trial_39,2,128,"0,0019",ReLU,Huber,0,Adagrad,"5,5851",5.5851,680,T2_T5,trial_39
T2_T5/trial_21,4,32,"0,0044",ReLU,Huber,0,Adagrad,"5,5852",5.5852,2 320,T2_T5,trial_21
T2_T5/trial_22,5,128,"0,004",ReLU,Huber,0,RMSprop,"5,5866",5.5866,520,T2_T5,trial_22
T3-T4_T5/trial_49,2,1 024,"0,0008",ReLU,Huber,1,Adagrad,"3,3917",3.3917,1 092,T3-T4_T5,trial_49
T3-T4_T5/trial_23,3,128,"0,0025",ReLU,Huber,0,Adam,"3,4022",3.4022,858,T3-T4_T5,trial_23
T3-T4_T5/trial_43,1,256,"0,0017",ReLU,Huber,1,Adagrad,"3,4153",3.4153,1 482,T3-T4_T5,trial_43
T3-T4_T5/trial_20,4,128,"0,0045",ReLU,Huber,0,Adam,"3,4529",3.4529,858,T3-T4_T5,trial_20
T3-T4_T5/trial_10,4,128,"0,006",ReLU,Huber,0,Adam,"3,4812",3.4812,702,T3-T4_T5,trial_10
T3_T4/trial_47,1,256,"0,0016",ReLU,Huber,0,Adagrad,"3,0412",3.0412,1 853,T3_T4,trial_47
T3_T4/trial_41,2,256,"0,0006",ReLU,Huber,0,Adagrad,"3,0431",3.0431,4 033,T3_T4,trial_41
T3_T4/trial_48,5,256,"0,0006",ReLU,Huber,0,Adagrad,"3,0439",3.0439,1 635,T3_T4,trial_48
T3_T4/trial_20,2,512,"0,0002",ReLU,Huber,0,Adagrad,"3,0455",3.0455,8 175,T3_T4,trial_20
T3_T4/trial_13,2,256,"0,0006",ReLU,Huber,0,Adagrad,"3,0462",3.0462,1 744,T3_T4,trial_13
T3_T5/trial_5,4,1 024,"0,0017",ReLU,MSE,1,Adagrad,"4,7872",4.7872,1 840,T3_T5,trial_5
T3_T5/trial_40,2,64,"0,0039",ReLU,Huber,0,Adam,"4,8337",4.8337,480,T3_T5,trial_40
T3_T5/trial_33,3,1 024,"0,0004",ReLU,Huber,0,Adam,"4,8924",4.8924,180,T3_T5,trial_33
T3_T5/trial_1,2,32,"0,0001",ReLU,Huber,1,RMSprop,"4,9053",4.9053,4 320,T3_T5,trial_1
T3_T5/trial_35,3,64,"0,0001",ReLU,MSE,0,RMSprop,"4,9647",4.9647,880,T3_T5,trial_35
T4_T5/trial_19,3,128,"0,0001",ReLU,MSE,1,RMSprop,"3,3829",3.3829,800,T4_T5,trial_19
T4_T5/trial_8,2,512,"0,0001",ReLU,Huber,0,Adam,"3,3842",3.3842,920,T4_T5,trial_8
T4_T5/trial_43,5,1 024,"0,0001",ReLU,Huber,1,Adam,"3,387",3.387,1 080,T4_T5,trial_43
T4_T5/trial_47,5,256,"0,0001",ReLU,MAE,1,Adam,"3,3933",3.3933,1 501,T4_T5,trial_47
T4_T5/trial_33,4,1 024,0,ReLU,Huber,1,Adam,"3,396",3.396,1 960,T4_T5,trial_33
