Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T1-T2_T5/trial_26,4,64,"0,0049",ReLU,Huber,1,Adagrad,"4,3981",4.3981,4 800,T1-T2_T5,trial_26
T1-T2_T5/trial_16,3,64,"0,0034",ReLU,Huber,0,Adagrad,"4,3999",4.3999,3 680,T1-T2_T5,trial_16
T1-T2_T5/trial_19,3,64,"0,0029",ReLU,Huber,0,Adagrad,"4,412",4.412,2 800,T1-T2_T5,trial_19
T1-T2_T5/trial_27,4,64,"0,006",ReLU,Huber,1,Adagrad,"4,4159",4.4159,3 520,T1-T2_T5,trial_27
T1-T3-T4_T5/trial_45,4,512,0,ReLU,Huber,0,Adam,"2,439",2.439,680,T1-T3-T4_T5,trial_45
T1-T3-T4_T5/trial_40,3,512,0,ReLU,Huber,0,Adam,"2,4422",2.4422,570,T1-T3-T4_T5,trial_40
T1-T3-T4_T5/trial_41,3,512,0,ReLU,Huber,0,Adam,"2,4446",2.4446,550,T1-T3-T4_T5,trial_41
T1-T3-T4_T5/trial_49,4,512,0,ReLU,MSE,0,Adam,"2,4453",2.4453,770,T1-T3-T4_T5,trial_49
T1-T3-T4_T5/trial_46,4,512,0,ReLU,Huber,0,Adam,"2,4514",2.4514,650,T1-T3-T4_T5,trial_46
T1-T3_T4/trial_31,3,1 024,0,ReLU,Huber,1,Adam,"2,2119",2.2119,1 635,T1-T3_T4,trial_31
T1-T3_T4/trial_5,2,1 024,0,ReLU,MSE,0,Adam,"2,2141",2.2141,840,T1-T3_T4,trial_5
T1-T3_T4/trial_45,5,128,0,ReLU,Huber,0,Adam,"2,2256",2.2256,5 170,T1-T3_T4,trial_45
T1-T3_T4/trial_33,4,1 024,0,ReLU,Huber,1,Adam,"2,2303",2.2303,2 398,T1-T3_T4,trial_33
T1-T3_T4/trial_8,2,1 024,"0,0001",ReLU,Huber,1,Adam,"2,2308",2.2308,392,T1-T3_T4,trial_8
T1-T3_T5/trial_33,1,1 024,"0,0035",tanh,Huber,1,Adagrad,"3,5923",3.5923,450,T1-T3_T5,trial_33
T1-T3_T5/trial_3,1,1 024,"0,0068",ReLU,MSE,0,Adam,"3,595",3.595,240,T1-T3_T5,trial_3
T1-T3_T5/trial_15,2,128,"0,0015",ReLU,MAE,1,Adagrad,"3,6068",3.6068,4 160,T1-T3_T5,trial_15
T1-T3_T5/trial_49,1,1 024,0,sigmoid,Huber,1,Adam,"3,608",3.608,5 320,T1-T3_T5,trial_49
T1-T3_T5/trial_48,1,1 024,0,sigmoid,Huber,1,Adam,"3,6165",3.6165,4 040,T1-T3_T5,trial_48
T1-T4_T5/trial_7,5,128,"0,0005",ReLU,MSE,1,Adam,"2,4381",2.4381,1 060,T1-T4_T5,trial_7
T1-T4_T5/trial_47,1,512,0,ReLU,MSE,0,RMSprop,"2,4519",2.4519,1 220,T1-T4_T5,trial_47
T1-T4_T5/trial_39,1,64,"0,0006",ReLU,MSE,0,Adam,"2,4549",2.4549,700,T1-T4_T5,trial_39
T1-T4_T5/trial_11,3,512,"0,0001",ReLU,MAE,1,Adam,"2,4632",2.4632,1 580,T1-T4_T5,trial_11
T1-T4_T5/trial_23,3,64,"0,0007",ReLU,Huber,0,Adam,"2,4713",2.4713,380,T1-T4_T5,trial_23
T1_T2/trial_6,2,32,"0,0014",ReLU,MSE,0,Adam,"2,3674",2.3674,387,T1_T2,trial_6
T1_T2/trial_11,4,64,"0,0001",ReLU,MAE,0,Adam,"2,3864",2.3864,1 870,T1_T2,trial_11
T1_T2/trial_13,4,1 024,0,ReLU,MSE,0,RMSprop,"2,4134",2.4134,935,T1_T2,trial_13
T1_T2/trial_31,1,512,"0,0001",tanh,Huber,1,Adam,"2,4377",2.4377,5 950,T1_T2,trial_31
T1_T2/trial_41,1,512,0,tanh,Huber,1,Adam,"2,4441",2.4441,16 660,T1_T2,trial_41
T1_T3/trial_16,2,512,"0,0073",ReLU,Huber,1,Adam,"3,593",3.593,255,T1_T3,trial_16
T1_T3/trial_39,1,64,"0,0003",ReLU,Huber,1,Adam,"3,5978",3.5978,2 278,T1_T3,trial_39
T1_T3/trial_48,3,256,"0,0001",ReLU,Huber,1,Adam,"3,6002",3.6002,1 020,T1_T3,trial_48
