dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_combined_6M,trial_9,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,3.7357468605041504,4.898227691650391,0.665050745010376
MLP_alsfrs-r_combined_6M,trial_7,1.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.7893965244293213,3.723823070526123,0.8071536421775818
MLP_alsfrs-r_combined_6M,trial_0,1.0,256.0,5e-06,0.0,ReLU,Adam,Huber,4.3401923179626465,5.692161560058594,0.5431680679321289
MLP_alsfrs-r_combined_6M,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.8528730869293213,3.834759473800659,0.7886859178543091
MLP_alsfrs-r_combined_6M,trial_19,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.8521478176116943,3.8568482398986816,0.7881373763084412
MLP_alsfrs-r_combined_6M,trial_26,3.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.819949150085449,4.578280448913574,0.7110897302627563
MLP_alsfrs-r_combined_6M,trial_21,2.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.8255774974823,3.745842456817627,0.8022755980491638
MLP_alsfrs-r_combined_6M,trial_28,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.7722842693328857,3.682898998260498,0.8109769225120544
MLP_alsfrs-r_combined_6M,trial_17,2.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.887829065322876,3.8043785095214844,0.7953931093215942
MLP_alsfrs-r_combined_6M,trial_10,1.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.839341402053833,3.763038396835327,0.8029861450195312
