dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
T3-T4_T5,trial_85,2.0,512.0,0.0003192505050905578,0.0,32,ReLU,Adam,3.220930337905884,4.292500019073486,0.7887502908706665
T3-T4_T5,trial_3,1.0,128.0,0.0002609884959311028,1.0,128,ReLU,Adam,3.9156975746154785,5.209573268890381,0.7197155356407166
T3-T4_T5,trial_4,1.0,128.0,0.0008080267723593998,0.0,32,ReLU,Adam,3.366279125213623,4.445995807647705,0.7764000296592712
T3-T4_T5,trial_57,3.0,512.0,0.0001916506961764222,0.0,16,ReLU,Adam,3.0029070377349854,3.992635726928711,0.7836278080940247
T3-T4_T5,trial_92,2.0,512.0,0.0002391374779966701,0.0,32,ReLU,Adam,3.063953399658203,4.132993221282959,0.8037213087081909
T3-T4_T5,trial_93,2.0,512.0,0.0001958646048128067,0.0,32,ReLU,Adam,3.0872092247009277,4.17002534866333,0.8000987768173218
T3-T4_T5,trial_87,2.0,512.0,0.00028333809120453747,1.0,32,ReLU,Adam,3.232558250427246,4.311187267303467,0.7927727103233337
T3-T4_T5,trial_73,2.0,512.0,0.0001818999584840321,0.0,32,ReLU,Adam,3.09883713722229,4.228391170501709,0.7977960109710693
T3-T4_T5,trial_1,3.0,256.0,8.052649145968926e-05,0.0,128,ReLU,Adam,2.991279125213623,4.136256217956543,0.8236556053161621
T3-T4_T5,trial_74,2.0,512.0,0.0001976968803584892,0.0,32,ReLU,Adam,3.177325487136841,4.308790683746338,0.7796792387962341
T3-T4_T5,trial_42,2.0,512.0,0.0003500718287663567,0.0,32,ReLU,Adam,3.2470929622650146,4.317080020904541,0.7840417623519897
T3-T4_T5,trial_18,2.0,512.0,0.0001310492937979247,0.0,32,ReLU,Adam,3.154069662094116,4.390336990356445,0.7741299867630005
T3-T4_T5,trial_9,3.0,256.0,0.0006975872864372231,1.0,32,ReLU,Adam,3.069767475128174,4.055535793304443,0.8104714751243591
