Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1_T5/trial_16;2;128;0,0001;sigmoid;Huber;0;RMSprop;8,0282;8,0282;2 200
T1_T5/trial_17;1;128;0,0004;ReLU;Huber;1;Adam;5,7581;5,7581;1 025
T1_T5/trial_18;2;128;0,0004;ReLU;Huber;1;Adam;5,9129;5,9129;451
T1_T5/trial_19;2;128;0,003;ReLU;Huber;1;Adam;5,8315;5,8315;410
T1_T5/trial_2;1;512;0,0001;sigmoid;Huber;0;RMSprop;6,1665;6,1665;1 331
T1_T5/trial_20;3;128;0,0025;ReLU;Huber;1;Adam;5,7767;5,7767;533
T1_T5/trial_21;3;128;0,0031;ReLU;Huber;1;Adam;5,7171;5,7171;697
T1_T5/trial_22;4;128;0,0027;ReLU;Huber;1;Adam;5,7696;5,7696;820
T1_T5/trial_23;3;128;0,0026;ReLU;Huber;1;Adam;5,9564;5,9564;328
T1_T5/trial_24;4;128;0,0017;ReLU;Huber;1;Adam;5,6723;5,6723;1 230
T1_T5/trial_25;4;64;0,0005;ReLU;Huber;1;Adam;5,9432;5,9432;656
T1_T5/trial_26;4;128;0,0016;ReLU;Huber;1;Adam;5,9754;5,9754;574
T1_T5/trial_27;4;128;0,0016;ReLU;Huber;1;Adam;5,9581;5,9581;984
T1_T5/trial_28;5;128;0,0049;ReLU;MSE;1;Adam;5,7489;5,7489;533
T1_T5/trial_29;3;128;0,0006;ReLU;MAE;1;Adam;5,7286;5,7286;779
T1_T5/trial_3;3;256;0,0009;ReLU;MSE;0;RMSprop;6,1101;6,1101;143
T1_T5/trial_30;4;1 024;0,0015;ReLU;MSE;1;Adam;5,7756;5,7756;287
T1_T5/trial_31;3;128;0,005;ReLU;Huber;1;Adam;6,7953;6,7953;410
T1_T5/trial_32;3;128;0,004;ReLU;Huber;1;Adam;6,0397;6,0397;287
T1_T5/trial_33;3;128;0,002;ReLU;Huber;1;Adam;6,1393;6,1393;525
T1_T5/trial_34;2;64;0,0002;ReLU;Huber;1;Adam;5,8449;5,8449;656
T1_T5/trial_35;3;32;0,0097;ReLU;Huber;1;Adam;6,4364;6,4364;246
T1_T5/trial_36;4;128;0,0006;ReLU;MAE;1;Adagrad;5,9615;5,9615;2 911
T1_T5/trial_37;3;256;0,0012;ReLU;Huber;1;Adam;5,806;5,806;328
T1_T5/trial_38;5;128;0,0002;tanh;MSE;1;Adam;19,2096;19,2096;4 200
T1_T5/trial_39;4;1 024;0,0066;ReLU;MAE;0;Adam;5,7198;5,7198;738
T1_T5/trial_4;3;256;0,0002;tanh;MAE;0;RMSprop;6,2379;6,2379;1 476
T1_T5/trial_40;3;256;0,0034;tanh;Huber;1;Adagrad;9,6449;9,6449;2 200
T1_T5/trial_41;2;64;0,0002;ReLU;Huber;1;Adam;5,8835;5,8835;615
T1_T5/trial_42;1;64;0,0001;ReLU;Huber;1;Adam;5,9474;5,9474;1 476
T1_T5/trial_43;1;64;0;ReLU;Huber;1;Adam;5,9484;5,9484;2 214
T1_T5/trial_44;1;64;0;ReLU;Huber;1;Adam;5,9394;5,9394;2 747
T1_T5/trial_45;1;64;0;ReLU;Huber;1;Adam;5,9375;5,9375;2 436
T1_T5/trial_46;1;64;0;tanh;MSE;0;Adagrad;25,6416;25,6416;4 200
T1_T5/trial_47;1;64;0;ReLU;Huber;1;Adam;5,9519;5,9519;3 864
T1_T5/trial_48;1;32;0;ReLU;MAE;1;Adam;5,97;5,97;3 612
T1_T5/trial_49;1;64;0;ReLU;Huber;0;Adam;5,9841;5,9841;4 179
T1_T5/trial_5;4;1 024;0,0001;ReLU;MSE;1;Adam;5,9175;5,9175;1 312
T1_T5/trial_6;4;256;0,0065;tanh;MAE;0;Adagrad;8,299;8,299;273
