Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T3-T4_T5/trial_42;4;512;0,0003;ReLU;Huber;1;Adam;3,4163;3,4163;500
T2-T3-T4_T5/trial_43;4;512;0,0007;ReLU;Huber;1;Adam;3,2167;3,2167;320
T2-T3-T4_T5/trial_44;3;32;0,0001;ReLU;Huber;0;Adam;3,2977;3,2977;1 280
T2-T3-T4_T5/trial_45;5;512;0,001;ReLU;Huber;1;Adam;3,1526;3,1526;770
T2-T3-T4_T5/trial_46;4;256;0;ReLU;Huber;1;Adagrad;10,5355;10,5355;4 000
T2-T3-T4_T5/trial_47;3;512;0,0004;tanh;Huber;0;Adagrad;4,6897;4,6897;6 162
T2-T3-T4_T5/trial_48;4;1 024;0,0054;ReLU;Huber;1;Adam;3,7888;3,7888;1 232
T2-T3-T4_T5/trial_49;5;512;0,0023;ReLU;Huber;1;Adagrad;5,7014;5,7014;200
T2-T3-T4_T5/trial_5;1;256;0,0008;tanh;Huber;0;Adam;4,3978;4,3978;1 925
T2-T3-T4_T5/trial_6;4;128;0,0007;tanh;MAE;0;Adam;9,6385;9,6385;450
T2-T3-T4_T5/trial_7;3;512;0,0002;tanh;MAE;0;Adam;3,796;3,796;1 092
T2-T3-T4_T5/trial_8;2;512;0,0071;ReLU;MAE;1;Adagrad;3,9014;3,9014;150
T2-T3-T4_T5/trial_9;3;32;0,0004;ReLU;Huber;0;Adagrad;4,0601;4,0601;2 000
T2-T3_T5/trial_0;4;512;0,0096;tanh;MSE;1;Adam;9,709;9,709;553
T2-T3_T5/trial_1;1;512;0,0035;tanh;Huber;1;Adam;6,0826;6,0826;680
T2-T3_T5/trial_10;1;32;0,0001;sigmoid;Huber;1;Adam;15,4454;15,4454;8 000
T2-T3_T5/trial_11;2;1 024;0,0001;ReLU;Huber;0;Adagrad;4,5869;4,5869;1 501
T2-T3_T5/trial_12;2;64;0,0001;ReLU;Huber;0;Adagrad;17,8052;17,8052;2 000
T2-T3_T5/trial_13;1;1 024;0,0002;ReLU;Huber;1;Adagrad;4,7377;4,7377;2 960
T2-T3_T5/trial_14;2;1 024;0,0001;ReLU;Huber;1;Adagrad;4,6308;4,6308;1 738
T2-T3_T5/trial_15;1;1 024;0;ReLU;Huber;0;Adagrad;5,479;5,479;8 000
T2-T3_T5/trial_16;2;64;0,0002;sigmoid;MAE;1;Adagrad;27,8366;27,8366;15 800
T2-T3_T5/trial_17;1;128;0;ReLU;Huber;0;Adagrad;21,1653;21,1653;2 000
T2-T3_T5/trial_18;2;256;0,0003;ReLU;Huber;0;Adagrad;4,7963;4,7963;1 280
T2-T3_T5/trial_19;4;32;0;sigmoid;MAE;1;Adagrad;30,4884;30,4884;15 800
T2-T3_T5/trial_2;3;1 024;0,0098;ReLU;Huber;0;Adagrad;4,8483;4,8483;1 185
T2-T3_T5/trial_20;1;1 024;0,0003;ReLU;Huber;1;Adagrad;4,7864;4,7864;1 106
T2-T3_T5/trial_21;2;1 024;0,0001;ReLU;Huber;1;Adagrad;4,6206;4,6206;2 370
T2-T3_T5/trial_22;2;1 024;0,0002;ReLU;Huber;1;Adagrad;4,719;4,719;1 343
T2-T3_T5/trial_23;3;1 024;0,0001;ReLU;Huber;1;Adagrad;4,6119;4,6119;5 530
T2-T3_T5/trial_24;3;1 024;0,0001;ReLU;Huber;1;Adagrad;4,5633;4,5633;5 372
T2-T3_T5/trial_25;3;1 024;0,0001;ReLU;Huber;1;Adagrad;4,5903;4,5903;8 769
T2-T3_T5/trial_26;4;1 024;0;ReLU;Huber;0;Adagrad;5,2737;5,2737;15 800
T2-T3_T5/trial_27;3;128;0,0001;ReLU;Huber;1;Adagrad;5,8959;5,8959;15 800
T2-T3_T5/trial_28;3;64;0;sigmoid;MAE;0;Adagrad;30,1112;30,1112;15 800
T2-T3_T5/trial_29;5;256;0,0003;tanh;MSE;1;RMSprop;9,7688;9,7688;7 110
T2-T3_T5/trial_3;5;128;0,0021;sigmoid;MSE;0;RMSprop;5,9375;5,9375;650
T2-T3_T5/trial_30;4;1 024;0;tanh;MSE;1;Adam;5,7806;5,7806;9 875
T2-T3_T5/trial_31;3;1 024;0,0001;ReLU;Huber;1;Adagrad;4,5969;4,5969;5 214
